	Upload
GH94	6.24519765624644
GT36	6.24519765624644
GT84	6.24519765624644
GH3	2.3473736143164
GT4	1.5203613186062
GH68	1.45859307745033
CE1	1.0167245422478
GH29	0.843948350796934
PL8	0.149235614637625
GH38	0.130821961848887
GH4	0.0725148057061713
GT2	0.0472576718302369
GH51	-0.0499376169438922
GH30	-0.0707108990905597
GT26	-0.0707108990905597
GT28	-0.07071089909056
GT5	-0.076408423563021
CBM48	-0.113021272883215
GH18	-0.133124723406188
GH5	-0.142497264607572
GH9	-0.142497264607572
GH105	-0.142929393882006
GT35	-0.159241278693516
GT51	-0.181128750342868
GT1	-0.199206246125866
GH20	-0.250227349682211
GH65	-0.35100994780843
GH31	-0.434025674083161
GH13	-0.544342299328644
GH32	-0.864098372092675
GH88	-1.06471931476107
