	Upload
5.1 Immune system	0.908365650364784
2.3 Folding, sorting and degradation	0.81206612263524
3.1 Membrane transport	0.751636942334825
1.7 Glycan biosynthesis and metabolism	0.704992413473477
6.11 Drug resistance: antimicrobial	0.696398237729129
1.1 Carbohydrate metabolism	0.675882982053669
1.0 Global and overview maps	0.674289673073881
4.4 Cellular community - prokaryotes	0.493728288009932
1.2 Energy metabolism	0.470861174316497
1.5 Amino acid metabolism	0.285906062787573
1.6 Metabolism of other amino acids	0.103126243896402
6.6 Immune disease	0.0266689780782652
3.3 Signaling molecules and interaction	0.0188544546805837
5.4 Digestive system	0.0188544546805837
5.6 Nervous system	0.00649334974709627
6.3 Infectious disease: viral	-0.0138342495618293
1.11 Xenobiotics biodegradation and metabolism	-0.0159348849727964
4.5 Cell motility	-0.027158716548905
2.1 Transcription	-0.0335023782720018
1.3 Lipid metabolism	-0.040178434785782
1.12 Chemical structure transformation maps	-0.0499376169438922
4.3 Cellular community - eukaryotes	-0.0499376169438922
1.8 Metabolism of cofactors and vitamins	-0.057214295070721
3.2 Signal transduction	-0.0579193976307142
2.2 Translation	-0.0803648940869749
6.10 Endocrine and metabolic disease	-0.0920148361005693
1.4 Nucleotide metabolism	-0.159990867768012
4.1 Transport and catabolism	-0.192530513160577
2.4 Replication and repair	-0.293282510718391
1.10 Biosynthesis of other secondary metabolites	-0.40522089255211
5.10 Environmental adaptation	-0.433652218838235
6.4 Infectious disease: bacterial	-0.465919525281258
4.2 Cell growth and death	-0.620112922487203
5.9 Aging	-0.641160026288094
5.2 Endocrine system	-0.667918173675198
6.7 Neurodegenerative disease	-0.806318191168099
6.1 Cancer: overview	-1.15965892946881
1.9 Metabolism of terpenoids and polyketides	-1.29436220446888
6.2 Cancer: specific types	-1.40283280252009
6.9 Cardiovascular disease	-1.45309098989748
6.12 Drug resistance: antineoplastic	-1.55365004788575
