	Upload
W : Extracellular structures	5.68894749903183
N : Cell motility	1.28991705034941
T : Signal transduction mechanisms	0.718317496122201
G : Carbohydrate transport and metabolism	0.712522144505568
M : Cell wall/membrane/envelope biogenesis	0.68707434376311
P : Inorganic ion transport and metabolism	0.522277023461703
U : Intracellular trafficking, secretion, and vesicular transport	0.469681028256106
K : Transcription	0.34798362518506
D : Cell cycle control, cell division, chromosome partitioning	0.344156816710488
E : Amino acid transport and metabolism	0.323491762196
S : Function unknown	0.309804849100234
Q : Secondary metabolites biosynthesis, transport and catabolism	0.221438282580557
I : Lipid transport and metabolism	0.149414016186352
J : Translation, ribosomal structure and biogenesis	-0.0288682021391511
C : Energy production and conversion	-0.0857630646654202
B : Chromatin structure and dynamics	-0.0867115402595042
O : Posttranslational modification, protein turnover, chaperones	-0.291316131106384
H : Coenzyme transport and metabolism	-0.418998448510884
F : Nucleotide transport and metabolism	-0.44142556640228
V : Defense mechanisms	-0.928231114771096
L : Replication, recombination and repair	-1.1426412871483
