#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_2_length_515833_cov_109.460731:430564-432264|- -            567 1532                 -            562  1.1e-261  866.9  19.3   1   1  2.5e-264  1.2e-261  866.7  19.3     1   560     1   561     1   563 0.99 NODE_2_length_515833_cov_109.460731_406 # 430564 # 432264 # -1 # ID=2_406;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.465
NODE_2_length_515833_cov_109.460731:399656-403210|- -           1185 1532                 -            562     1e-07   28.4  19.6   1   5   2.1e-10     1e-07   28.4  19.6     2   369     3   376     2   392 0.79 NODE_2_length_515833_cov_109.460731_379 # 399656 # 403210 # -1 # ID=2_379;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.474
NODE_2_length_515833_cov_109.460731:399656-403210|- -           1185 1532                 -            562     1e-07   28.4  19.6   2   5         6   2.9e+03  -10.9  27.8   206   371   311   487   303   503 0.69 NODE_2_length_515833_cov_109.460731_379 # 399656 # 403210 # -1 # ID=2_379;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.474
NODE_2_length_515833_cov_109.460731:399656-403210|- -           1185 1532                 -            562     1e-07   28.4  19.6   3   5       5.8   2.8e+03   -6.0  28.1   187   389   676   882   663   904 0.75 NODE_2_length_515833_cov_109.460731_379 # 399656 # 403210 # -1 # ID=2_379;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.474
NODE_2_length_515833_cov_109.460731:399656-403210|- -           1185 1532                 -            562     1e-07   28.4  19.6   4   5     0.041        20    1.1   7.2   118   251   899  1040   891  1050 0.64 NODE_2_length_515833_cov_109.460731_379 # 399656 # 403210 # -1 # ID=2_379;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.474
NODE_2_length_515833_cov_109.460731:399656-403210|- -           1185 1532                 -            562     1e-07   28.4  19.6   5   5    0.0066       3.2    3.7   0.0   422   500  1076  1153  1066  1165 0.82 NODE_2_length_515833_cov_109.460731_379 # 399656 # 403210 # -1 # ID=2_379;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.474
NODE_10_length_64565_cov_119.738261:1195-2538|+     -            448 1532                 -            562   4.3e-05   19.8   0.0   1   3    0.0005      0.24    7.4   0.0    15    39    19    44    12    52 0.81 NODE_10_length_64565_cov_119.738261_3 # 1195 # 2538 # 1 # ID=10_3;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.500
NODE_10_length_64565_cov_119.738261:1195-2538|+     -            448 1532                 -            562   4.3e-05   19.8   0.0   2   3    0.0003      0.14    8.1   0.0    18    45   261   288   249   321 0.86 NODE_10_length_64565_cov_119.738261_3 # 1195 # 2538 # 1 # ID=10_3;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.500
NODE_10_length_64565_cov_119.738261:1195-2538|+     -            448 1532                 -            562   4.3e-05   19.8   0.0   3   3       0.1        51   -0.3   0.0   458   509   387   439   361   443 0.86 NODE_10_length_64565_cov_119.738261_3 # 1195 # 2538 # 1 # ID=10_3;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.500
NODE_2_length_515833_cov_109.460731:418382-419287|- -            302 1532                 -            562   0.00012   18.2   0.0   1   1   3.7e-07   0.00018   17.7   0.0    11    40   153   182   150   202 0.91 NODE_2_length_515833_cov_109.460731_394 # 418382 # 419287 # -1 # ID=2_394;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.489
NODE_3_length_404174_cov_108.718135:314825-315568|- -            248 1532                 -            562    0.0068   12.5   0.8   1   2   4.4e-05     0.021   10.9   0.1    12    54    16    60     4    83 0.79 NODE_3_length_404174_cov_108.718135_293 # 314825 # 315568 # -1 # ID=3_293;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.478
