# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	686	1426	+	LPARA_00001		Class I SAM-dependent methyltransferase	RefSeq:WP_003563042.1, SO:0001217, UniParc:UPI000176A5E2, UniRef:UniRef100_A0A1S2ADX0, UniRef:UniRef50_A0A1S2ADX0, UniRef:UniRef90_A0A1S2ADX0
contig_1	cds	1587	3134	-	LPARA_00002	ccmA	heme ABC exporter ATP-binding protein CcmA	COG:COG0488, COG:R, EC:7.6.2.5, GO:0015439, GO:0015886, GO:0017004, GO:0022857, GO:0043190, RefSeq:WP_003573180.1, SO:0001217, UniParc:UPI000176A5E1, UniRef:UniRef100_A0A0K1MR19, UniRef:UniRef50_A0A1B2IYZ2, UniRef:UniRef90_Q03CF3
contig_1	cds	3513	4451	+	LPARA_00003		ADP-ribosylglycohydrolase	RefSeq:WP_016384999.1, SO:0001217, UniParc:UPI000343466C, UniRef:UniRef100_UPI000343466C, UniRef:UniRef50_A0A806ECG7, UniRef:UniRef90_A0A806ECG7
contig_1	cds	4529	5128	+	LPARA_00004	lepB	signal peptidase I	EC:3.4.21.89, GO:0004252, GO:0006465, GO:0009306, GO:0016020, KEGG:K03100, RefSeq:WP_003563036.1, SO:0001217, UniParc:UPI000176A5DF, UniRef:UniRef100_A0A0K1MQ61, UniRef:UniRef50_A0A180C927, UniRef:UniRef90_A0A0K1MQ61
contig_1	cds	5414	5746	-	LPARA_00005		Phage protein	SO:0001217, UniRef:UniRef50_Q03CF6, UniRef:UniRef90_Q03CF6
contig_1	cds	5855	6598	-	LPARA_00006		putative integral membrane protein	RefSeq:WP_003577421.1, SO:0001217, UniParc:UPI0000E56711, UniRef:UniRef100_Q03CF7, UniRef:UniRef50_A0AAD1AN22, UniRef:UniRef90_Q03CF7
contig_1	cds	6617	7399	-	LPARA_00007		Glycosyltransferase family 2 protein	RefSeq:WP_003563028.1, SO:0001217, UniParc:UPI000051105C, UniRef:UniRef100_Q03CF8, UniRef:UniRef50_A0A422M883, UniRef:UniRef90_A0A422LYZ4
contig_1	cds	7484	8242	-	LPARA_00008	glpR	Lactose transport regulator	COG:COG1349, COG:KG, KEGG:K22103, RefSeq:WP_003563026.1, SO:0001217, UniParc:UPI0000E56710, UniRef:UniRef100_Q03CF9, UniRef:UniRef50_Q03CF9, UniRef:UniRef90_Q03CF9
contig_1	cds	8687	9373	+	LPARA_00009		Cell wall-associated hydrolase	RefSeq:WP_003563024.1, SO:0001217, UniParc:UPI000051105A, UniRef:UniRef100_Q03CG0, UniRef:UniRef50_A0A422M862, UniRef:UniRef90_Q03CG0
contig_1	cds	10116	11495	+	LPARA_00010	brnQ	branched-chain amino acid transport system II carrier protein	COG:COG1114, COG:E, GO:0015658, GO:0015803, GO:0016020, KEGG:K03311, RefSeq:WP_016385000.1, SO:0001217, UniParc:UPI000343BACE, UniRef:UniRef100_UPI000343BACE, UniRef:UniRef50_A0A0R2C6A4, UniRef:UniRef90_Q03CG1
contig_1	cds	11646	12740	-	LPARA_00011		Transcriptional regulator	EC:2.7.8.-, KEGG:K01005, RefSeq:WP_003563019.1, SO:0001217, UniParc:UPI0001978B55, UniRef:UniRef100_A0A806L9S2, UniRef:UniRef50_A0A0R1U4J5, UniRef:UniRef90_Q03CG2
contig_1	cds	12869	14668	+	LPARA_00012		Oligoendopeptidase F, plasmid	SO:0001217, UniRef:UniRef50_P54124
contig_1	cds	14665	15546	+	LPARA_00013		2-hydroxy-3-oxopropionate reductase	RefSeq:WP_004562160.1, SO:0001217, UniParc:UPI00019C972D, UniRef:UniRef100_A0A1J3CC44, UniRef:UniRef50_A0A0R2JMR4, UniRef:UniRef90_A0A1J3CC44
contig_1	cds	15543	16391	+	LPARA_00014		Diadenosine tetraphosphatase related serine/threonine protein phosphatase	RefSeq:WP_016385001.1, SO:0001217, UniParc:UPI00034397D1, UniRef:UniRef100_UPI00034397D1, UniRef:UniRef50_Q03CG5, UniRef:UniRef90_Q03CG5
contig_1	cds	16463	17260	-	LPARA_00015	znuB	ABC-type Mn2+/Zn2+ transport system, permease component	COG:COG1108, COG:P, RefSeq:WP_016385002.1, SO:0001217, UniParc:UPI0003434CCF, UniRef:UniRef100_UPI0003434CCF, UniRef:UniRef50_A0A0R1VND7, UniRef:UniRef90_Q03CG6
contig_1	cds	17257	17976	-	LPARA_00016		ATP-binding cassette domain-containing protein	RefSeq:WP_003577411.1, SO:0001217, UniParc:UPI000297767B, UniRef:UniRef100_A0A0K1MQ32, UniRef:UniRef50_A0A0R1XCS0, UniRef:UniRef90_A0A0K1MQ32
contig_1	cds	18050	18394	-	LPARA_00017		FeS cluster biogenesis domain-containing protein	RefSeq:WP_003563007.1, SO:0001217, UniParc:UPI0000511052, UniRef:UniRef100_Q03CG8, UniRef:UniRef50_A0A0R2AXP9, UniRef:UniRef90_Q03CG8
contig_1	cds	18643	19995	-	LPARA_00018	gntP	Gluconate permease GntP	COG:COG2610, COG:G, RefSeq:WP_003568836.1, SO:0001217, UniParc:UPI00005111D7, UniRef:UniRef100_Q03CI0, UniRef:UniRef50_A0A0R2JCW0, UniRef:UniRef90_Q03CI0
contig_1	cds	20180	21748	-	LPARA_00019	gntK	gluconokinase	COG:COG1070, COG:G, EC:2.7.1.12, GO:0009255, GO:0019521, GO:0046316, KEGG:K25031, RefSeq:WP_003563002.1, SO:0001217, UniParc:UPI00005111D6, UniRef:UniRef100_Q03CI1, UniRef:UniRef50_A0A1X1FDN6, UniRef:UniRef90_C2JT53
contig_1	cds	21818	22723	-	LPARA_00020	gnd	phosphogluconate dehydrogenase (NAD(+)-dependent, decarboxylating)	EC:1.1.1.343, EC:1.1.1.44, GO:0006098, GO:0016616, KEGG:K00033, RefSeq:WP_016374870.1, SO:0001217, UniParc:UPI0003435DE3, UniRef:UniRef100_S2RBI8, UniRef:UniRef50_A0A916HQP1, UniRef:UniRef90_A0A243PPD7
contig_1	cds	23026	23868	+	LPARA_00021		Transcriptional regulator	RefSeq:WP_016385003.1, SO:0001217, UniParc:UPI0003439D32, UniRef:UniRef100_UPI0003439D32, UniRef:UniRef50_U4TKJ9, UniRef:UniRef90_Q03CI3
contig_1	cds	24085	24474	-	LPARA_00022		Malonate semialdehyde decarboxylase	RefSeq:WP_016385004.1, SO:0001217, UniParc:UPI0003439820, UniRef:UniRef100_UPI0003439820, UniRef:UniRef50_A0A4U8Z3T6, UniRef:UniRef90_A5YBK1
contig_1	cds	24512	25384	-	LPARA_00023		Fructose-bisphosphate aldolase	EC:4.1.2.13, KEGG:K01624, RefSeq:WP_016385005.1, SO:0001217, UniParc:UPI000343E1B2, UniRef:UniRef100_UPI000343E1B2, UniRef:UniRef50_A0A0F4KRG7, UniRef:UniRef90_E1U865
contig_1	cds	25407	26303	-	LPARA_00024	iolE	myo-inosose-2 dehydratase	EC:4.2.1.44, GO:0019310, GO:0030145, GO:0050114, KEGG:K03335, RefSeq:WP_016385006.1, SO:0001217, UniParc:UPI000343471A, UniRef:UniRef100_UPI000343471A, UniRef:UniRef50_Q0TUZ0, UniRef:UniRef90_A5YBJ9
contig_1	cds	26305	27357	-	LPARA_00025	iolG	inositol 2-dehydrogenase	EC:1.1.1.18, GO:0019310, GO:0050112, RefSeq:WP_016385007.1, SO:0001217, UniParc:UPI000343F0C6, UniRef:UniRef100_UPI000343F0C6, UniRef:UniRef50_A0A9X1CEA0, UniRef:UniRef90_A0A0J9X1Y7
contig_1	cds	27395	28435	-	LPARA_00026	iolG	Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase	EC:1.1.1.18, EC:1.1.1.369, GO:0000166, GO:0019310, GO:0050112, RefSeq:WP_016385008.1, SO:0001217, UniParc:UPI000343E4D1, UniRef:UniRef100_UPI000343E4D1, UniRef:UniRef50_A5YBJ7, UniRef:UniRef90_A5YBJ7
contig_1	cds	28449	30404	-	LPARA_00027	iolD	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing)	EC:3.7.1.22, GO:0000287, GO:0003984, GO:0005948, GO:0009097, GO:0009099, GO:0016823, GO:0019310, GO:0030976, GO:0050660, GO:0102481, KEGG:K03336, RefSeq:WP_016385009.1, SO:0001217, UniParc:UPI00034345A2, UniRef:UniRef100_UPI00034345A2, UniRef:UniRef50_P42415, UniRef:UniRef90_A5YBJ6
contig_1	cds	30401	31381	-	LPARA_00028	iolC	5-dehydro-2-deoxygluconokinase	EC:2.7.1.92, GO:0005524, GO:0019310, GO:0047590, KEGG:K03338, RefSeq:WP_003568831.1, SO:0001217, UniParc:UPI0001566857, UniRef:UniRef100_A5YBJ5, UniRef:UniRef50_P42414, UniRef:UniRef90_A5YBJ5
contig_1	cds	31418	32233	-	LPARA_00029	iolB	5-deoxy-glucuronate isomerase	EC:5.3.1.30, GO:0008880, GO:0016861, GO:0019310, GO:0102482, KEGG:K03337, RefSeq:WP_003573132.1, SO:0001217, UniParc:UPI0001566991, UniRef:UniRef100_A5YBJ4, UniRef:UniRef50_P42413, UniRef:UniRef90_A5YBJ4
contig_1	cds	32278	33756	-	LPARA_00030	iolA	Malonate-semialdehyde dehydrogenase	COG:COG1012, COG:I, EC:1.2.1.27, GO:0004491, GO:0006210, GO:0006574, GO:0018478, GO:0019310, SO:0001217, UniRef:UniRef50_P42412, UniRef:UniRef90_A5YBJ3
