## Sun May  3 20:22:47 2026
## emapper-2.1.13
## /home/probiominserver/anaconda3/envs/eggnog-mapper/bin/emapper.py -i ./temp/20260503-wvUp-se8q-xNMC7EYi/0.contigAnn/prokka_result.faa --temp_dir ./temp/20260503-wvUp-se8q-xNMC7EYi/2.eggNOGmapper --output_dir ./temp/20260503-wvUp-se8q-xNMC7EYi/2.eggNOGmapper --output eggNOG_out --cpu 24 --sensmode fast -m diamond --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
ELMOCPCJ_00001	543734.LCABL_02570	5.88e-175	488.0	COG0500@1|root,COG0500@2|Bacteria,1VDQJ@1239|Firmicutes,4IT3M@91061|Bacilli,3F8EP@33958|Lactobacillaceae	91061|Bacilli	Q	Methyltransferase domain	ypaC	-	-	-	-	-	-	-	-	-	-	-	Methyltransf_25
ELMOCPCJ_00002	543734.LCABL_02560	0.0	1007.0	COG0488@1|root,COG0488@2|Bacteria,1TPAX@1239|Firmicutes,4HC58@91061|Bacilli,3FC7X@33958|Lactobacillaceae	91061|Bacilli	S	ABC transporter	-	-	-	-	-	-	-	-	-	-	-	-	ABC_tran,ABC_tran_Xtn
ELMOCPCJ_00003	543734.LCABL_02550	3.24e-221	610.0	COG1397@1|root,COG1397@2|Bacteria,1TQXG@1239|Firmicutes,4HE5F@91061|Bacilli,3F509@33958|Lactobacillaceae	91061|Bacilli	O	ADP-ribosylglycohydrolase	draG	-	-	-	-	-	-	-	-	-	-	-	ADP_ribosyl_GH
ELMOCPCJ_00004	543734.LCABL_02540	1.26e-139	394.0	COG0681@1|root,COG0681@2|Bacteria,1V7H9@1239|Firmicutes,4HIQ4@91061|Bacilli,3F4SM@33958|Lactobacillaceae	91061|Bacilli	U	Belongs to the peptidase S26 family	lepB	-	3.4.21.89	ko:K03100	ko02024,ko03060,map02024,map03060	-	-	-	ko00000,ko00001,ko01000,ko01002	-	-	-	Peptidase_S24
ELMOCPCJ_00005	1423732.BALS01000075_gene2102	3.63e-53	169.0	29PTZ@1|root,30AS5@2|Bacteria,1U71D@1239|Firmicutes,4IGVU@91061|Bacilli,3F8UT@33958|Lactobacillaceae	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ELMOCPCJ_00006	543734.LCABL_02510	3.62e-173	483.0	COG5523@1|root,COG5523@2|Bacteria,1U7F2@1239|Firmicutes,4IHB0@91061|Bacilli,3F9IA@33958|Lactobacillaceae	91061|Bacilli	S	Protein of unknown function (DUF975)	-	-	-	-	-	-	-	-	-	-	-	-	DUF975
ELMOCPCJ_00007	543734.LCABL_02500	2.71e-187	520.0	COG1215@1|root,COG1215@2|Bacteria,1V0TF@1239|Firmicutes,4HVF8@91061|Bacilli,3FBRX@33958|Lactobacillaceae	91061|Bacilli	M	Glycosyltransferase like family 2	-	-	-	-	-	-	-	-	-	-	-	-	Glycos_transf_2
ELMOCPCJ_00008	543734.LCABL_02490	1.05e-171	480.0	COG1349@1|root,COG1349@2|Bacteria,1V1VH@1239|Firmicutes,4HHQ0@91061|Bacilli,3FC5T@33958|Lactobacillaceae	91061|Bacilli	K	DeoR C terminal sensor domain	glcR	-	-	ko:K22103	-	-	-	-	ko00000,ko03000	-	-	-	DeoRC,HTH_DeoR
ELMOCPCJ_00009	543734.LCABL_02480	5.69e-102	301.0	COG3103@1|root,COG3103@2|Bacteria,1VB6H@1239|Firmicutes,4I1GZ@91061|Bacilli,3F7SK@33958|Lactobacillaceae	91061|Bacilli	T	Sh3 type 3 domain protein	-	-	-	-	-	-	-	-	-	-	-	-	LysM,SLAP
ELMOCPCJ_00010	543734.LCABL_02470	0.0	871.0	COG1114@1|root,COG1114@2|Bacteria,1TQIS@1239|Firmicutes,4HAKA@91061|Bacilli,3F3KC@33958|Lactobacillaceae	91061|Bacilli	U	Component of the transport system for branched-chain amino acids	brnQ	-	-	ko:K03311	-	-	-	-	ko00000	2.A.26	-	-	Branch_AA_trans
ELMOCPCJ_00011	543734.LCABL_02460	1.7e-240	663.0	COG1316@1|root,COG1316@2|Bacteria,1TR1B@1239|Firmicutes,4HA09@91061|Bacilli,3F3MQ@33958|Lactobacillaceae	91061|Bacilli	K	Cell envelope-like function transcriptional attenuator common domain protein	brpA	-	-	-	-	-	-	-	-	-	-	-	LytR_cpsA_psr
