#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_14_length_41384_cov_104.001985:38689-40785|+   -            699 1977                 -            707         0 1281.8  11.3   1   1         0         0 1281.1  11.3    44   704     6   685     2   688 0.95 NODE_14_length_41384_cov_104.001985_37 # 38689 # 40785 # 1 # ID=14_37;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.465
NODE_6_length_211744_cov_108.724426:53638-55788|+   -            717 1977                 -            707  7.5e-244  808.7  14.8   1   2      0.33   1.4e+02   -2.0   0.0    44    66     4    26     2    49 0.79 NODE_6_length_211744_cov_108.724426_48 # 53638 # 55788 # 1 # ID=6_48;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.472
NODE_6_length_211744_cov_108.724426:53638-55788|+   -            717 1977                 -            707  7.5e-244  808.7  14.8   2   2  1.8e-246  7.5e-244  808.7  14.8    69   706    63   701    37   702 0.95 NODE_6_length_211744_cov_108.724426_48 # 53638 # 55788 # 1 # ID=6_48;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.472
NODE_3_length_404174_cov_108.718135:400176-402683|- -            836 1977                 -            707  4.1e-241  799.6  11.0   1   1  1.3e-243  5.5e-241  799.2  11.0    72   689   164   798   137   817 0.92 NODE_3_length_404174_cov_108.718135_381 # 400176 # 402683 # -1 # ID=3_381;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.483
NODE_2_length_515833_cov_109.460731:55090-57696|+   -            869 1977                 -            707    6e-233  772.6  15.4   1   2  8.5e-119  3.5e-116  386.7  11.1    57   396   142   481   106   482 0.89 NODE_2_length_515833_cov_109.460731_48 # 55090 # 57696 # 1 # ID=2_48;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.478
NODE_2_length_515833_cov_109.460731:55090-57696|+   -            869 1977                 -            707    6e-233  772.6  15.4   2   2  6.7e-120  2.8e-117  390.3   0.2   333   702   478   858   475   863 0.90 NODE_2_length_515833_cov_109.460731_48 # 55090 # 57696 # 1 # ID=2_48;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.478
NODE_2_length_515833_cov_109.460731:104430-105839|+ -            470 1977                 -            707   1.4e-09   34.3   4.4   1   3   4.5e-10   1.8e-07   27.3   0.0   409   471     7    74     2   119 0.84 NODE_2_length_515833_cov_109.460731_95 # 104430 # 105839 # 1 # ID=2_95;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.464
NODE_2_length_515833_cov_109.460731:104430-105839|+ -            470 1977                 -            707   1.4e-09   34.3   4.4   2   3     0.016       6.6    2.3   0.2   189   244   273   325   264   331 0.66 NODE_2_length_515833_cov_109.460731_95 # 104430 # 105839 # 1 # ID=2_95;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.464
NODE_2_length_515833_cov_109.460731:104430-105839|+ -            470 1977                 -            707   1.4e-09   34.3   4.4   3   3    0.0026       1.1    4.9   0.1   602   678   347   432   339   455 0.84 NODE_2_length_515833_cov_109.460731_95 # 104430 # 105839 # 1 # ID=2_95;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.464
NODE_1_length_651596_cov_115.359902:93524-94870|-   -            449 1977                 -            707     4e-06   22.9   0.2   1   2    0.0004      0.16    7.6   0.0   448   471    48    71    43    81 0.90 NODE_1_length_651596_cov_115.359902_93 # 93524 # 94870 # -1 # ID=1_93;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.483
NODE_1_length_651596_cov_115.359902:93524-94870|-   -            449 1977                 -            707     4e-06   22.9   0.2   2   2   9.1e-06    0.0038   13.0   0.1   179   270    88   173    75   198 0.79 NODE_1_length_651596_cov_115.359902_93 # 93524 # 94870 # -1 # ID=1_93;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.483
