QueryID	Family	Cluster	IsBegin	IsEnd	IrId	IrLen	Ngaps	OrfBegin	OrfEnd	Strand	OrfLen	Evalue	Type
ELMOCPCJ_15	IS3	IS3_206	18819	20508	15	19	0	19222	20389	+	1168	1.4e-31	p
ELMOCPCJ_18	IS3	IS3_274	2187	3070	16	20	0	2644	3102	+	459	2.1e-24	p
ELMOCPCJ_2	IS21	IS21_288	494789	497540	11	11	0	494821	497101	-	2281	2.3e-12	p
ELMOCPCJ_20	IS3	IS3_369	125	1802	20	23	1	174	1776	+	1603	4.9e-12	p
ELMOCPCJ_26	ISL3	ISL3_126	28	328	12	14	0	3	422	-	420	5.4e-17	p
ELMOCPCJ_41	ISL3	ISL3_111	3	200	0	0	0	3	200	-	198	3.4e-13	p
ELMOCPCJ_8	IS5	IS5_197	52571	53436	22	24	0	52880	53375	+	496	1.7e-31	p
