#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_2_length_515833_cov_109.460731:205072-206106|+ -            345 2177                 -            330  4.8e-139  460.3   0.1   1   1  1.1e-141  5.4e-139  460.1   0.1     1   329     3   338     3   339 0.97 NODE_2_length_515833_cov_109.460731_179 # 205072 # 206106 # 1 # ID=2_179;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.512
NODE_4_length_348303_cov_114.329901:38646-39752|-   -            369 2177                 -            330   2.5e-10   37.2   3.5   1   3     0.025        12    2.1   0.1    20    88    52   120    48   135 0.87 NODE_4_length_348303_cov_114.329901_45 # 38646 # 39752 # -1 # ID=4_45;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
NODE_4_length_348303_cov_114.329901:38646-39752|-   -            369 2177                 -            330   2.5e-10   37.2   3.5   2   3     0.044        21    1.3   0.0   230   274   220   262   213   268 0.69 NODE_4_length_348303_cov_114.329901_45 # 38646 # 39752 # -1 # ID=4_45;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
NODE_4_length_348303_cov_114.329901:38646-39752|-   -            369 2177                 -            330   2.5e-10   37.2   3.5   3   3   8.9e-12   4.3e-09   33.2   0.1   243   321   287   365   276   368 0.93 NODE_4_length_348303_cov_114.329901_45 # 38646 # 39752 # -1 # ID=4_45;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
NODE_3_length_404174_cov_108.718135:255645-256760|- -            372 2177                 -            330   3.3e-08   30.3   0.0   1   4     0.059        29    0.9   0.0    20    58    52    90    48   131 0.86 NODE_3_length_404174_cov_108.718135_229 # 255645 # 256760 # -1 # ID=3_229;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.493
NODE_3_length_404174_cov_108.718135:255645-256760|- -            372 2177                 -            330   3.3e-08   30.3   0.0   2   4       0.8   3.9e+02   -2.8   0.0   256   296   149   189   146   192 0.77 NODE_3_length_404174_cov_108.718135_229 # 255645 # 256760 # -1 # ID=3_229;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.493
NODE_3_length_404174_cov_108.718135:255645-256760|- -            372 2177                 -            330   3.3e-08   30.3   0.0   3   4     0.025        12    2.1   0.0   165   255   225   244   219   270 0.56 NODE_3_length_404174_cov_108.718135_229 # 255645 # 256760 # -1 # ID=3_229;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.493
NODE_3_length_404174_cov_108.718135:255645-256760|- -            372 2177                 -            330   3.3e-08   30.3   0.0   4   4   1.5e-08   7.1e-06   22.6   0.0   242   317   287   362   280   369 0.92 NODE_3_length_404174_cov_108.718135_229 # 255645 # 256760 # -1 # ID=3_229;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.493
NODE_5_length_328887_cov_107.457170:293131-294120|+ -            330 2177                 -            330    0.0022   14.4   0.0   1   2   1.5e-05    0.0071   12.7   0.0   244   276   204   236   190   249 0.83 NODE_5_length_328887_cov_107.457170_280 # 293131 # 294120 # 1 # ID=5_280;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.468
NODE_5_length_328887_cov_107.457170:293131-294120|+ -            330 2177                 -            330    0.0022   14.4   0.0   2   2       1.1   5.2e+02   -3.3   0.0   290   317   287   314   283   318 0.84 NODE_5_length_328887_cov_107.457170_280 # 293131 # 294120 # 1 # ID=5_280;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.468
NODE_4_length_348303_cov_114.329901:237295-238176|+ -            294 2177                 -            330    0.0027   14.1   0.0   1   2     0.032        16    1.7   0.0   159   180    27    48    24    58 0.89 NODE_4_length_348303_cov_114.329901_208 # 237295 # 238176 # 1 # ID=4_208;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.499
