#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_7_length_113986_cov_103.583132:28650-30029|-   -            460 76478                -            456  8.6e-224  740.7   0.1   1   1  2.7e-226  9.7e-224  740.5   0.1     1   454     1   453     1   455 0.99 NODE_7_length_113986_cov_103.583132_29 # 28650 # 30029 # -1 # ID=7_29;partial=00;start_type=GTG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.475
NODE_1_length_651596_cov_115.359902:616138-617526|+ -            463 76478                -            456   1.3e-29  100.6   0.4   1   1   4.5e-32   1.6e-29  100.2   0.4   110   348   104   351    88   443 0.82 NODE_1_length_651596_cov_115.359902_592 # 616138 # 617526 # 1 # ID=1_592;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.482
NODE_2_length_515833_cov_109.460731:502840-504150|- -            437 76478                -            456   1.1e-18   64.5   0.0   1   1   1.1e-20     4e-18   62.7   0.0    15   316     9   301     3   328 0.84 NODE_2_length_515833_cov_109.460731_484 # 502840 # 504150 # -1 # ID=2_484;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.461
NODE_13_length_45945_cov_104.851879:25529-26881|-   -            451 76478                -            456   3.9e-12   42.9   0.2   1   2   4.6e-11   1.7e-08   31.0   0.1   112   200    52   146    43   171 0.82 NODE_13_length_45945_cov_104.851879_27 # 25529 # 26881 # -1 # ID=13_27;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.492
NODE_13_length_45945_cov_104.851879:25529-26881|-   -            451 76478                -            456   3.9e-12   42.9   0.2   2   2   0.00011      0.04    9.9   0.0   273   307   265   299   243   317 0.86 NODE_13_length_45945_cov_104.851879_27 # 25529 # 26881 # -1 # ID=13_27;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.492
NODE_1_length_651596_cov_115.359902:38675-40228|-   -            518 76478                -            456     8e-08   28.7   1.4   1   3   2.5e-05    0.0092   12.0   0.0    85   140    83   138    73   145 0.88 NODE_1_length_651596_cov_115.359902_35 # 38675 # 40228 # -1 # ID=1_35;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.465
NODE_1_length_651596_cov_115.359902:38675-40228|-   -            518 76478                -            456     8e-08   28.7   1.4   2   3   0.00027     0.098    8.7   0.0   163   242   182   262   173   282 0.80 NODE_1_length_651596_cov_115.359902_35 # 38675 # 40228 # -1 # ID=1_35;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.465
NODE_1_length_651596_cov_115.359902:38675-40228|-   -            518 76478                -            456     8e-08   28.7   1.4   3   3    0.0043       1.6    4.7   0.3   274   425   319   483   311   494 0.64 NODE_1_length_651596_cov_115.359902_35 # 38675 # 40228 # -1 # ID=1_35;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.465
NODE_7_length_113986_cov_103.583132:46182-47459|-   -            426 76478                -            456     0.002   14.2   0.0   1   3   0.00034      0.12    8.3   0.0   110   136    38    64    25    72 0.90 NODE_7_length_113986_cov_103.583132_47 # 46182 # 47459 # -1 # ID=7_47;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.507
NODE_7_length_113986_cov_103.583132:46182-47459|-   -            426 76478                -            456     0.002   14.2   0.0   2   3     0.092        33    0.3   0.0   270   298   250   278   225   296 0.82 NODE_7_length_113986_cov_103.583132_47 # 46182 # 47459 # -1 # ID=7_47;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.507
NODE_7_length_113986_cov_103.583132:46182-47459|-   -            426 76478                -            456     0.002   14.2   0.0   3   3     0.049        18    1.2   0.0   344   411   330   397   301   412 0.62 NODE_7_length_113986_cov_103.583132_47 # 46182 # 47459 # -1 # ID=7_47;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.507
