# BUSCO version is: 6.0.0 
# The lineage dataset is: lactobacillaceae_odb12 (Creation date: 2025-05-14, number of genomes: 100, number of BUSCOs: 519)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
3at33958	Complete	NODE_1_length_651596_cov_115.359902	612575	612826	+	166.9	79
9at33958	Missing
14at33958	Complete	NODE_2_length_515833_cov_109.460731	509090	508446	-	346.7	210
20at33958	Complete	NODE_6_length_211744_cov_108.724426	129059	128154	-	604.2	301
23at33958	Complete	NODE_1_length_651596_cov_115.359902	386545	387105	+	307.9	178
24at33958	Complete	NODE_2_length_515833_cov_109.460731	507857	507540	-	165.3	97
28at33958	Complete	NODE_5_length_328887_cov_107.457170	195766	195080	-	418.2	225
47at33958	Complete	NODE_3_length_404174_cov_108.718135	353668	353222	-	271.5	147
59at33958	Complete	NODE_2_length_515833_cov_109.460731	454126	453872	-	111.0	66
63at33958	Complete	NODE_7_length_113986_cov_103.583132	50393	47751	-	1675.6	881
66at33958	Complete	NODE_7_length_113986_cov_103.583132	34937	34506	-	242.6	141
69at33958	Complete	NODE_11_length_60639_cov_107.161487	39556	39296	-	165.7	82
71at33958	Complete	NODE_2_length_515833_cov_109.460731	440434	440144	-	184.2	95
78at33958	Complete	NODE_5_length_328887_cov_107.457170	190248	190790	+	288.8	176
84at33958	Complete	NODE_5_length_328887_cov_107.457170	290793	290284	-	305.0	168
85at33958	Complete	NODE_2_length_515833_cov_109.460731	93794	94036	+	125.0	71
89at33958	Complete	NODE_3_length_404174_cov_108.718135	365741	365085	-	393.9	216
117at33958	Complete	NODE_1_length_651596_cov_115.359902	346529	347338	+	449.5	261
126at33958	Complete	NODE_2_length_515833_cov_109.460731	218427	217531	-	643.3	296
132at33958	Complete	NODE_5_length_328887_cov_107.457170	193984	193523	-	213.8	143
133at33958	Complete	NODE_3_length_404174_cov_108.718135	364941	364723	-	164.9	72
134at33958	Complete	NODE_11_length_60639_cov_107.161487	10628	10314	-	156.1	99
141at33958	Complete	NODE_13_length_45945_cov_104.851879	41922	42227	+	149.9	83
145at33958	Complete	NODE_1_length_651596_cov_115.359902	233835	233539	-	169.1	96
147at33958	Complete	NODE_5_length_328887_cov_107.457170	320363	317952	-	1566.2	799
157at33958	Complete	NODE_2_length_515833_cov_109.460731	446931	445591	-	835.3	439
158at33958	Complete	NODE_13_length_45945_cov_104.851879	27009	27599	+	379.1	190
174at33958	Complete	NODE_2_length_515833_cov_109.460731	174700	175680	+	582.3	314
176at33958	Complete	NODE_5_length_328887_cov_107.457170	232382	231360	-	668.7	335
187at33958	Complete	NODE_2_length_515833_cov_109.460731	96009	96869	+	432.5	277
197at33958	Complete	NODE_17_length_14292_cov_110.043405	8795	7587	-	672.8	387
205at33958	Complete	NODE_1_length_651596_cov_115.359902	598059	599447	+	839.0	453
214at33958	Complete	NODE_5_length_328887_cov_107.457170	46583	45288	-	769.3	428
215at33958	Complete	NODE_2_length_515833_cov_109.460731	98758	100842	+	1341.6	687
217at33958	Complete	NODE_5_length_328887_cov_107.457170	39186	37846	-	844.6	441
218at33958	Complete	NODE_13_length_45945_cov_104.851879	32361	32990	+	401.2	208
220at33958	Complete	NODE_11_length_60639_cov_107.161487	50745	49258	-	752.2	478
226at33958	Complete	NODE_2_length_515833_cov_109.460731	343320	343051	-	143.6	86
229at33958	Complete	NODE_13_length_45945_cov_104.851879	26881	25529	-	770.6	445
