# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	686	1426	+	LPARA_00001	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A1S2ADX0
contig_1	cds	1587	3134	-	LPARA_00002	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0K1MR19
contig_1	cds	3513	4451	+	LPARA_00003	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000343466C
contig_1	cds	4529	5128	+	LPARA_00004	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0K1MQ61
contig_1	cds	5414	5746	-	LPARA_00005	212.0	1.5e-69	1.0	1.0	0.982	UniRef:UniRef90_Q03CF6
contig_1	cds	5855	6598	-	LPARA_00006	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CF7
contig_1	cds	6617	7399	-	LPARA_00007	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CF8
contig_1	cds	7484	8242	-	LPARA_00008	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CF9
contig_1	cds	8687	9373	+	LPARA_00009	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CG0
contig_1	cds	10116	11495	+	LPARA_00010	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000343BACE
contig_1	cds	11646	12740	-	LPARA_00011	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A806L9S2
contig_1	cds	12869	14668	+	LPARA_00012	1092.0	0.0	1.0	1.0	0.898	UniRef:UniRef90_A0A249DAC5
contig_1	cds	14665	15546	+	LPARA_00013	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A1J3CC44
contig_1	cds	15543	16391	+	LPARA_00014	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00034397D1
contig_1	cds	16463	17260	-	LPARA_00015	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003434CCF
contig_1	cds	17257	17976	-	LPARA_00016	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0K1MQ32
contig_1	cds	18050	18394	-	LPARA_00017	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CG8
contig_1	cds	18643	19995	-	LPARA_00018	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CI0
