#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_5_length_328887_cov_107.457170:139085-141340|- -            752 923                  -            733         0 1286.3   7.3   1   1         0         0 1285.9   7.3     4   733     5   749     2   749 0.96 NODE_5_length_328887_cov_107.457170_137 # 139085 # 141340 # -1 # ID=5_137;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.467
NODE_2_length_515833_cov_109.460731:195568-199272|- -           1235 923                  -            733   3.1e-51  171.6  10.1   1   4   4.2e-13     3e-10   36.1   0.7    10    80     5    75     1   113 0.90 NODE_2_length_515833_cov_109.460731_175 # 195568 # 199272 # -1 # ID=2_175;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.481
NODE_2_length_515833_cov_109.460731:195568-199272|- -           1235 923                  -            733   3.1e-51  171.6  10.1   2   4   1.2e-15   8.6e-13   44.6   0.0   171   301   343   490   326   507 0.73 NODE_2_length_515833_cov_109.460731_175 # 195568 # 199272 # -1 # ID=2_175;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.481
NODE_2_length_515833_cov_109.460731:195568-199272|- -           1235 923                  -            733   3.1e-51  171.6  10.1   3   4   1.4e-25     1e-22   77.3   0.1   341   576   580   816   572   824 0.87 NODE_2_length_515833_cov_109.460731_175 # 195568 # 199272 # -1 # ID=2_175;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.481
NODE_2_length_515833_cov_109.460731:195568-199272|- -           1235 923                  -            733   3.1e-51  171.6  10.1   4   4     2e-07   0.00014   17.4   0.1   584   617   857   890   851   903 0.89 NODE_2_length_515833_cov_109.460731_175 # 195568 # 199272 # -1 # ID=2_175;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.481
NODE_1_length_651596_cov_115.359902:551112-553400|- -            763 923                  -            733   2.8e-11   39.5   7.3   1   5      0.24   1.7e+02   -2.8   0.2   691   719    42    70     3    78 0.64 NODE_1_length_651596_cov_115.359902_528 # 551112 # 553400 # -1 # ID=1_528;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.478
NODE_1_length_651596_cov_115.359902:551112-553400|- -            763 923                  -            733   2.8e-11   39.5   7.3   2   5   3.2e-08   2.3e-05   20.0   0.0     3    48   202   248   200   252 0.92 NODE_1_length_651596_cov_115.359902_528 # 551112 # 553400 # -1 # ID=1_528;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.478
NODE_1_length_651596_cov_115.359902:551112-553400|- -            763 923                  -            733   2.8e-11   39.5   7.3   3   5      0.37   2.7e+02   -3.4   0.1   117   176   384   447   381   463 0.61 NODE_1_length_651596_cov_115.359902_528 # 551112 # 553400 # -1 # ID=1_528;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.478
NODE_1_length_651596_cov_115.359902:551112-553400|- -            763 923                  -            733   2.8e-11   39.5   7.3   4   5   1.6e-08   1.1e-05   21.0   0.0   214   298   520   605   511   622 0.82 NODE_1_length_651596_cov_115.359902_528 # 551112 # 553400 # -1 # ID=1_528;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.478
NODE_1_length_651596_cov_115.359902:551112-553400|- -            763 923                  -            733   2.8e-11   39.5   7.3   5   5     0.036        26   -0.0   0.0   538   572   669   701   633   707 0.76 NODE_1_length_651596_cov_115.359902_528 # 551112 # 553400 # -1 # ID=1_528;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.478
NODE_6_length_211744_cov_108.724426:132171-134462|+ -            764 923                  -            733   3.3e-08   29.4   9.5   1   4      0.29   2.1e+02   -3.0   1.5   444   506    10    72     3    88 0.68 NODE_6_length_211744_cov_108.724426_109 # 132171 # 134462 # 1 # ID=6_109;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.478
