#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_2_length_515833_cov_109.460731:424386-426803|- -            806 1671                 -            798         0 1286.1   0.0   1   1         0         0 1285.9   0.0     3   797     4   804     2   805 0.97 NODE_2_length_515833_cov_109.460731_399 # 424386 # 426803 # -1 # ID=2_399;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.504
NODE_2_length_515833_cov_109.460731:411785-413824|- -            680 1671                 -            798   2.2e-14   49.9   0.9   1   2   2.1e-13   8.8e-11   37.9   0.1   158   394   138   392    79   399 0.66 NODE_2_length_515833_cov_109.460731_388 # 411785 # 413824 # -1 # ID=2_388;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.486
NODE_2_length_515833_cov_109.460731:411785-413824|- -            680 1671                 -            798   2.2e-14   49.9   0.9   2   2   4.3e-05     0.018   10.4   0.1   588   659   513   573   507   586 0.80 NODE_2_length_515833_cov_109.460731_388 # 411785 # 413824 # -1 # ID=2_388;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.486
NODE_1_length_651596_cov_115.359902:635061-638585|+ -           1175 1671                 -            798   6.7e-13   44.9   3.2   1   3      0.71   2.9e+02   -3.5   0.7   188   244   214   271   197   299 0.47 NODE_1_length_651596_cov_115.359902_606 # 635061 # 638585 # 1 # ID=1_606;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.485
NODE_1_length_651596_cov_115.359902:635061-638585|+ -           1175 1671                 -            798   6.7e-13   44.9   3.2   2   3   3.4e-14   1.4e-11   40.5   0.0   259   396   616   758   571   771 0.86 NODE_1_length_651596_cov_115.359902_606 # 635061 # 638585 # 1 # ID=1_606;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.485
NODE_1_length_651596_cov_115.359902:635061-638585|+ -           1175 1671                 -            798   6.7e-13   44.9   3.2   3   3    0.0028       1.2    4.4   0.0   563   628   844   907   838   918 0.83 NODE_1_length_651596_cov_115.359902_606 # 635061 # 638585 # 1 # ID=1_606;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.485
NODE_5_length_328887_cov_107.457170:275726-276991|- -            422 1671                 -            798   1.8e-12   43.5   0.6   1   3   1.5e-09   6.2e-07   25.2   0.0   260   336    92   166    76   177 0.89 NODE_5_length_328887_cov_107.457170_265 # 275726 # 276991 # -1 # ID=5_265;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.526
NODE_5_length_328887_cov_107.457170:275726-276991|- -            422 1671                 -            798   1.8e-12   43.5   0.6   2   3   0.00037      0.15    7.4   0.0   303   339   288   323   284   328 0.82 NODE_5_length_328887_cov_107.457170_265 # 275726 # 276991 # -1 # ID=5_265;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.526
NODE_5_length_328887_cov_107.457170:275726-276991|- -            422 1671                 -            798   1.8e-12   43.5   0.6   3   3   0.00043      0.18    7.1   0.3   593   664   336   397   325   414 0.74 NODE_5_length_328887_cov_107.457170_265 # 275726 # 276991 # -1 # ID=5_265;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.526
NODE_5_length_328887_cov_107.457170:242882-244897|- -            672 1671                 -            798   1.4e-07   27.3   2.3   1   2    0.0019      0.78    5.0   0.0   264   336    20    88     7    94 0.80 NODE_5_length_328887_cov_107.457170_236 # 242882 # 244897 # -1 # ID=5_236;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.464
NODE_5_length_328887_cov_107.457170:242882-244897|- -            672 1671                 -            798   1.4e-07   27.3   2.3   2   2   5.6e-08   2.3e-05   20.0   1.8   554   666   456   560   442   638 0.71 NODE_5_length_328887_cov_107.457170_236 # 242882 # 244897 # -1 # ID=5_236;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.464
