#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_2_length_515833_cov_109.460731:483823-484359|- -            179 2287                 -            166   2.8e-74  245.6   0.2   1   1   8.6e-77   3.1e-74  245.5   0.2     2   162     4   164     3   169 0.98 NODE_2_length_515833_cov_109.460731_463 # 483823 # 484359 # -1 # ID=2_463;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.479
NODE_11_length_60639_cov_107.161487:4638-5414|-     -            259 2287                 -            166   1.3e-12   45.0   0.0   1   2   0.00031      0.11    9.4   0.0    28    79     7    56     1    71 0.87 NODE_11_length_60639_cov_107.161487_7 # 4638 # 5414 # -1 # ID=11_7;partial=00;start_type=TTG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.470
NODE_11_length_60639_cov_107.161487:4638-5414|-     -            259 2287                 -            166   1.3e-12   45.0   0.0   2   2   1.2e-11   4.4e-09   33.5   0.0    89   139   185   235   172   245 0.90 NODE_11_length_60639_cov_107.161487_7 # 4638 # 5414 # -1 # ID=11_7;partial=00;start_type=TTG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.470
NODE_1_length_651596_cov_115.359902:365119-365640|+ -            174 2287                 -            166   3.7e-05   20.7   0.0   1   1   2.1e-07   7.7e-05   19.7   0.0    88   133    91   136    87   138 0.94 NODE_1_length_651596_cov_115.359902_350 # 365119 # 365640 # 1 # ID=1_350;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.489
NODE_2_length_515833_cov_109.460731:269806-270432|- -            209 2287                 -            166   0.00024   18.1   0.0   1   1   1.3e-06   0.00048   17.1   0.0    88   132   137   180   132   185 0.94 NODE_2_length_515833_cov_109.460731_244 # 269806 # 270432 # -1 # ID=2_244;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.488
NODE_11_length_60639_cov_107.161487:14501-15184|-   -            228 2287                 -            166    0.0022   15.0   0.0   1   2      0.24        88    0.0   0.0    25    42     3    20     2    34 0.72 NODE_11_length_60639_cov_107.161487_17 # 14501 # 15184 # -1 # ID=11_17;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.465
NODE_11_length_60639_cov_107.161487:14501-15184|-   -            228 2287                 -            166    0.0022   15.0   0.0   2   2   3.8e-05     0.014   12.4   0.0   100   138   164   202   103   218 0.80 NODE_11_length_60639_cov_107.161487_17 # 14501 # 15184 # -1 # ID=11_17;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.465
NODE_1_length_651596_cov_115.359902:429349-430170|- -            274 2287                 -            166     0.008   13.2   0.1   1   2   8.8e-05     0.032   11.2   0.0    25    97     3    74     1   112 0.80 NODE_1_length_651596_cov_115.359902_414 # 429349 # 430170 # -1 # ID=1_414;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.429
NODE_1_length_651596_cov_115.359902:429349-430170|- -            274 2287                 -            166     0.008   13.2   0.1   2   2      0.52   1.9e+02   -1.1   0.0   102   133   145   176   125   178 0.78 NODE_1_length_651596_cov_115.359902_414 # 429349 # 430170 # -1 # ID=1_414;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.429
NODE_1_length_651596_cov_115.359902:292452-293246|- -            265 2287                 -            166     0.011   12.8   0.0   1   1   4.6e-05     0.017   12.1   0.0    25    72     3    50     1    64 0.89 NODE_1_length_651596_cov_115.359902_281 # 292452 # 293246 # -1 # ID=1_281;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.453
NODE_1_length_651596_cov_115.359902:175345-177201|- -            619 2287                 -            166     0.011   12.7   0.0   1   1   6.7e-05     0.024   11.6   0.0    22   115   400   493   382   507 0.77 NODE_1_length_651596_cov_115.359902_172 # 175345 # 177201 # -1 # ID=1_172;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.527
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/ephraim/busco_downloads/lineages/lactobacillaceae_odb12/hmms/2287at33958.hmm
# Target file:     /home/ephraim/busco_isolate_may/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/ephraim/busco_isolate_may/run_lactobacillaceae_odb12/hmmer_output/2287at33958.out --cpu 1 /home/ephraim/busco_downloads/lineages/lactobacillaceae_odb12/hmms/2287at33958.hmm /home/ephraim/busco_isolate_may/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/ephraim
# Date:            Sun May  3 19:13:19 2026
# [ok]
