Rank	Genome ID	Species	Strain	BioSample ID	Date	Location	Host	Allelic distance	ARGs	VFs	PGs	PPRS
1	GCA_022588775.1	Lacticaseibacillus paracasei	BCRC-16100	SAMN22548461	2018-10-01	Taiwan: GenMont Biotech (Tainan)	Homo sapiens	119	0	0	1	1.00
2	GCA_025190545.1	Lacticaseibacillus paracasei	CIRM-BIA 2129	SAMN10365447	1993	-	-	119	0	0	2	2.00
3	GCA_040459635.1	Lacticaseibacillus paracasei	T0602	SAMN31372287	2020-11-17	Thailand	-	141	0	0	2	2.00
4	GCA_040459685.1	Lacticaseibacillus paracasei	T0601	SAMN31372286	2020-11-17	Thailand	-	142	0	0	2	2.00
5	GCA_000409815.1	Lacticaseibacillus paracasei subsp. paracasei Lpp230	Lpp230	SAMN02469722	-	-	Homo sapiens	159	0	0	2	2.00
6	GCA_030676325.1	Lacticaseibacillus paracasei	MYSN17	SAMN26674696	2017	India: Kerala	-	409	0	0	2	2.00
7	GCA_040459555.1	Lacticaseibacillus paracasei	T1901	SAMN31372292	2020-11-17	Thailand	-	435	0	0	2	2.00
8	GCA_040459585.1	Lacticaseibacillus paracasei	T1301	SAMN31372290	2020-11-17	Thailand	-	435	0	0	2	2.00
9	GCA_040459615.1	Lacticaseibacillus paracasei	T1304	SAMN31372291	2020-11-17	Thailand	-	435	0	0	2	2.00
10	GCA_040459675.1	Lacticaseibacillus paracasei	T0902	SAMN31372289	2020-11-17	Thailand	-	435	0	0	2	2.00
11	GCA_030418055.1	Lacticaseibacillus paracasei	PWN_T9	SAMN36288183	2017-11	Nigeria: Lagos	Elaesis guineensis	469	0	0	2	2.00
12	GCA_049163355.1	Lacticaseibacillus paracasei	FD1	SAMN47427496	2019-12	Malaysia: Kelantan	-	491	0	0	1	1.00
13	GCA_027886355.1	Lacticaseibacillus paracasei	NG-LCU-NJ2	SAMN31037894	2022-03-03	Nigeria: Ibadan, Oyo State	-	622	0	0	1	1.00
14	GCA_000409875.1	Lacticaseibacillus paracasei subsp. paracasei Lpp46	Lpp46	SAMN02469709	1996	-	-	623	0	0	2	2.00
