#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	44313	44993	+	LPARA_00040	25.3	10.2		RefSeq:WP_003573122.1, SO:0001217, UniParc:UPI00019C9722, UniRef:UniRef100_A0A1V0Q6M8, UniRef:UniRef50_Q03CJ1, UniRef:UniRef90_Q03CJ1
contig_1	52793	53173	+	LPARA_00049	15.1	4.7		RefSeq:WP_003562937.1, SO:0001217, UniParc:UPI000176A437, UniRef:UniRef100_K6R1Y9, UniRef:UniRef50_Q03CK0, UniRef:UniRef90_Q03CK0
contig_1	62718	63023	-	LPARA_00065	12.0	4.9		RefSeq:WP_003562898.1, SO:0001217, UniParc:UPI0000511391, UniRef:UniRef100_Q03CL6, UniRef:UniRef50_Q03CL6, UniRef:UniRef90_Q03CL6
contig_1	67069	67701	-	LPARA_00071	23.6	9.4		RefSeq:WP_003562871.1, SO:0001217, UniParc:UPI00005111AA, UniRef:UniRef100_Q03CM2, UniRef:UniRef50_Q03CM2, UniRef:UniRef90_Q03CM2
contig_1	95051	95380	+	LPARA_00094	12.5	5.6		RefSeq:WP_003573065.1, SO:0001217, UniParc:UPI0000510F97, UniRef:UniRef100_Q03CP4, UniRef:UniRef50_Q03CP4, UniRef:UniRef90_Q03CP4
contig_1	98037	98270	-	LPARA_00097	8.9	9.1		RefSeq:WP_003562813.1, SO:0001217, UniParc:UPI0000510F9A, UniRef:UniRef100_Q03CP7, UniRef:UniRef50_Q03CP7, UniRef:UniRef90_Q03CP7
contig_1	106508	106831	-	LPARA_00106	11.7	5.5	PF02635.20|DsrE	KEGG:K09004, PFAM:PF02635.20, RefSeq:WP_003573038.1, SO:0001217, UniParc:UPI0000E566E9, UniRef:UniRef100_Q03CQ6, UniRef:UniRef50_Q03CQ6, UniRef:UniRef90_Q03CQ6
contig_1	111344	111640	+	LPARA_00112	10.9	10.0		RefSeq:WP_003592707.1, SO:0001217, UniParc:UPI0000510B91, UniRef:UniRef100_Q03CR2, UniRef:UniRef90_Q03CR2
contig_1	118053	118175	+	LPARA_00121	4.6	10.0		SO:0001217, UniRef:UniRef50_S2R0L8, UniRef:UniRef90_S2R0L8
contig_1	123630	123752	-	LPARA_00126	4.5	5.0		SO:0001217, UniParc:UPI000D4022C4, UniRef:UniRef100_A0A422L9G6, UniRef:UniRef50_A0A422LYT4, UniRef:UniRef90_A0A422LYT4
contig_1	142516	143679	-	LPARA_00140	43.2	4.5		SO:0001217, UniRef:UniRef50_Q03CU0, UniRef:UniRef90_UPI000D3BECDD
contig_1	148164	148463	-	LPARA_00144	10.6	9.4		RefSeq:WP_003577316.1, SO:0001217, UniParc:UPI00005112A5, UniRef:UniRef100_Q03CV0, UniRef:UniRef50_Q03CV0, UniRef:UniRef90_Q03CV0
contig_1	151031	151408	-	LPARA_00148	13.7	10.0		RefSeq:WP_003562673.1, SO:0001217, UniParc:UPI0000E566DC, UniRef:UniRef100_Q03CV5, UniRef:UniRef50_Q03CV5, UniRef:UniRef90_Q03CV5
contig_1	177546	177767	+	LPARA_00173	8.4	9.9		SO:0001217, UniRef:UniRef50_Q03CZ0, UniRef:UniRef90_Q03CZ0
contig_1	196464	196577	-	LPARA_00191	4.3	6.5		
contig_1	199034	199324	+	LPARA_00195	11.4	10.0		RefSeq:WP_011673952.1, SO:0001217, UniParc:UPI0000E566BE, UniRef:UniRef100_Q03D10, UniRef:UniRef50_Q03D10, UniRef:UniRef90_Q03D10
contig_1	200939	201148	+	LPARA_00198	7.4	4.4		
contig_1	201169	201375	+	LPARA_00199	7.6	4.4	PF01471.23|PG_binding_1	PFAM:PF01471.23
contig_1	209882	210040	-	LPARA_00207	5.8	5.6		SO:0001217, UniParc:UPI00027E96F2, UniRef:UniRef100_A0A8E0I2Q9, UniRef:UniRef50_A0A422LSH7, UniRef:UniRef90_A0A422LSH7
contig_1	212637	212861	-	LPARA_00211	7.8	9.3		RefSeq:WP_003568502.1, SO:0001217, UniParc:UPI0001979865, UniRef:UniRef100_A0A826HKD8, UniRef:UniRef50_A0A826HKD8, UniRef:UniRef90_A0A826HKD8
contig_1	217708	218388	-	LPARA_00216	25.6	8.8		RefSeq:WP_003568543.1, SO:0001217, UniParc:UPI0001DBDDB1, UniRef:UniRef100_A0AAP4JKB1, UniRef:UniRef50_A0AAP4JKB1, UniRef:UniRef90_A0AAP4JKB1
contig_1	226065	226247	+	LPARA_00224	6.5	6.2		RefSeq:WP_003568482.1, SO:0001217, UniParc:UPI000176A9AC, UniRef:UniRef100_K6QSF0, UniRef:UniRef50_K6QSF0, UniRef:UniRef90_K6QSF0
contig_1	242178	242360	+	LPARA_00240	6.9	9.3		SO:0001217, UniParc:UPI00029833E1, UniRef:UniRef100_A0AAP9KTY2, UniRef:UniRef50_S2NEB7, UniRef:UniRef90_S2NEB7
contig_1	266629	266805	-	LPARA_00258	6.4	10.0		RefSeq:WP_003577160.1, SO:0001217, UniParc:UPI0000510FA7, UniRef:UniRef100_Q033M2, UniRef:UniRef50_Q033M2, UniRef:UniRef90_Q033M2
contig_1	309519	309842	-	LPARA_00297	12.1	4.2		RefSeq:WP_003568265.1, SO:0001217, UniParc:UPI0000511323, UniRef:UniRef100_Q033R9, UniRef:UniRef50_Q033R9, UniRef:UniRef90_Q033R9
contig_1	315380	315541	-	LPARA_00304	5.9	5.3		SO:0001217, UniParc:UPI000051108C, UniRef:UniRef100_A0A1J3C0X0, UniRef:UniRef50_C2JU89, UniRef:UniRef90_A0A1J3C0X0
contig_1	318892	319011	-	LPARA_00308	4.3	10.1		SO:0001217, UniParc:UPI000B0A67E2, UniRef:UniRef100_A0A422MJ71, UniRef:UniRef50_A0A422MJ71, UniRef:UniRef90_A0A422MJ71
contig_1	368182	368436	+	LPARA_00356	9.5	11.6		RefSeq:WP_003568143.1, SO:0001217, UniParc:UPI0001977A9E, UniRef:UniRef100_A0A0K1MXQ8, UniRef:UniRef50_Q033X5, UniRef:UniRef90_Q033X5
contig_1	394471	395001	-	LPARA_00380	20.8	9.4		RefSeq:WP_016388265.1, SO:0001217, UniParc:UPI000343B87B, UniRef:UniRef100_S2P2R4, UniRef:UniRef50_S2P2R4, UniRef:UniRef90_S2P2R4
contig_1	463142	463579	+	LPARA_00450	17.0	9.7		RefSeq:WP_050566640.1, SO:0001217, UniParc:UPI00039FA5E3, UniRef:UniRef100_UPI00039FA5E3, UniRef:UniRef50_A0AAV3J0F5, UniRef:UniRef90_UPI00039FA5E3
contig_1	485165	485365	+	LPARA_00473	7.4	5.0		SO:0001217, UniParc:UPI0003432FF6, UniRef:UniRef100_A0A829GZT0, UniRef:UniRef50_A0A829GZT0, UniRef:UniRef90_A0A829GZT0
contig_1	501117	501869	-	LPARA_00485	26.9	7.8		RefSeq:WP_272521905.1, SO:0001217, UniParc:UPI002348F20B, UniRef:UniRef100_UPI002348F20B, UniRef:UniRef50_A0A826HWS8, UniRef:UniRef90_A0A826HWS8
contig_1	509050	509310	+	LPARA_00492	9.8	10.1		SO:0001217, UniParc:UPI000176AAB7, UniRef:UniRef100_A0A422M545, UniRef:UniRef50_Q03C77, UniRef:UniRef90_A0A1S2ACU3
contig_1	531745	532218	+	LPARA_00512	19.2	10.0	PF24727.1|DUF7679	PFAM:PF24727.1, RefSeq:WP_003567848.1, SO:0001217, UniParc:UPI0000510FB5, UniRef:UniRef100_Q034K1, UniRef:UniRef90_Q034K1
contig_1	571657	571935	+	LPARA_00548	9.2	8.4		RefSeq:WP_003581148.1, SO:0001217, UniParc:UPI0000510CB4, UniRef:UniRef100_Q034N9, UniRef:UniRef50_Q034N9, UniRef:UniRef90_Q034N9
